a.1.1.	[1, 27, 9, 128, 49]
c.129.1.	[1, 6, 2]
c.13.1.	[3, 4]
c.13.2.	[4, 2]
c.130.1.	[1, 1]
c.131.1.	[3, 4]
c.132.1.	[1, 1]
c.133.1.	[6, 2]
c.134.1.	[2, 1]
c.135.1.	[3, 3]
c.136.1.	[2]
c.138.1.	[1]
c.14.1.	[14, 13, 78, 19, 3]
c.140.1.	[2, 1, 1]
c.141.1.	[1, 1]
c.142.1.	[1]
c.143.1.	[2, 1]
c.144.1.	[1]
c.145.1.	[1, 1]
c.146.1.	[2]
c.147.1.	[1]
c.148.1.	[1]
c.149.1.	[2]
c.15.1.	[2, 1, 1, 3, 3, 4]
c.150.1.	[2, 1, 1]
c.151.1.	[3]
c.152.1.	[1]
c.153.1.	[1]
c.154.1.	[3]
c.155.1.	[1]
c.16.1.	[10, 1]
c.17.1.	[1, 1, 9]
c.18.1.	[7, 5, 1, 4, 1]
c.19.1.	[2, 1, 1]
c.2.1.	[2, 2, 1, 4, 11, 34, 13, 27, 25, 30, 261, 55, 138]
c.20.1.	[1]
c.21.1.	[5]
c.22.1.	[5]
c.23.1.	[1, 1, 37, 59, 1, 1, 1, 1]
c.23.10.	[10, 1, 1, 3, 1, 2, 1, 2, 1, 2]
c.23.11.	[3]
c.23.12.	[2, 2, 9]
c.23.13.	[7, 3]
c.23.14.	[3, 1, 5]
c.23.15.	[3]
c.23.16.	[1, 2, 1, 1, 12, 1, 16, 22, 2, 2]
c.23.17.	[5]
c.23.2.	[3, 4]
c.23.3.	[1]
c.23.4.	[9]
c.23.5.	[4, 1, 1, 1, 5, 7, 3, 16, 15]
c.23.6.	[6]
c.23.8.	[7, 5]
c.24.1.	[1, 4, 3]
c.25.1.	[2, 3, 14, 12, 1, 3]
c.26.1.	[6, 6, 2, 16, 39, 27]
c.26.2.	[15, 19, 7, 2, 2, 7, 2]
c.26.3.	[2]
c.27.1.	[6, 1]
c.28.1.	[2, 6]
c.3.1.	[9, 57, 2, 1, 5, 23, 4, 2]
c.30.1.	[1, 2, 2, 1, 4, 9, 22, 3]
c.31.1.	[1, 4, 7, 3, 8, 6, 1]
c.32.1.	[9, 4]
c.33.1.	[21, 7]
c.34.1.	[5, 3]
c.36.1.	[5, 5, 1, 9, 1, 13, 8, 6, 4]
c.37.1.	[32, 33, 33, 3, 1, 12, 2, 1, 60, 2, 4, 1, 1, 1, 42, 167, 57, 4, 1, 4, 17, 7, 2, 157, 24]
c.38.1.	[2, 4]
c.39.1.	[2, 2]
c.4.1.	[2, 2, 5]
c.40.1.	[1]
c.41.1.	[3, 19, 7]
c.42.1.	[7, 8, 4]
c.43.1.	[5, 6, 10, 4]
c.44.1.	[13, 9]
c.44.2.	[2, 3, 2]
c.45.1.	[1, 17, 14, 42, 1, 1]
c.46.1.	[3, 4, 14, 3, 2]
c.47.1.	[5, 2, 51, 232, 3, 14, 46, 2, 2, 1, 1, 2, 59, 9, 4, 7, 2, 1, 2, 4, 1, 1, 8, 1]
c.47.2.	[1]
c.48.1.	[6, 1, 2, 5]
c.49.1.	[2, 5]
c.49.2.	[2, 3]
c.5.1.	[2, 2]
c.50.1.	[2, 7, 8]
c.51.1.	[3, 12, 2]
c.51.2.	[1, 1]
c.51.3.	[2, 2]
c.51.4.	[5, 7, 3, 2]
c.51.5.	[1]
c.51.6.	[1, 1]
c.52.1.	[1, 1, 1, 1, 2, 1, 2, 2, 4, 1, 4, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 4, 1]
c.52.2.	[4]
c.52.3.	[1]
c.52.4.	[1]
c.53.1.	[3, 5]
c.53.2.	[8, 4]
c.54.1.	[2, 5, 2]
c.55.1.	[2, 25, 6, 12, 4, 9, 4, 2, 4, 4, 2, 16, 1, 5, 79, 6]
c.55.2.	[4, 1]
c.55.3.	[3, 1, 1, 1, 3, 6, 1, 15, 20, 1, 1, 2, 26, 3, 2]
c.55.4.	[7, 2, 3]
c.55.5.	[2, 4, 1]
c.55.6.	[2]
c.55.7.	[1, 2]
c.56.1.	[1, 1]
c.56.2.	[33, 32]
c.56.3.	[3, 6]
c.56.4.	[4, 4]
c.56.5.	[2, 2, 6, 2, 2, 19, 2, 1, 13, 4]
c.56.6.	[2]
c.56.7.	[2]
c.56.8.	[1]
c.57.1.	[4, 7, 8]
c.58.1.	[8, 1, 9, 21, 4, 3]
c.59.1.	[2, 4, 2]
c.6.1.	[9, 2]
c.6.2.	[3, 1, 2, 3, 1, 6, 2, 2, 1]
c.6.3.	[1, 2]
c.60.1.	[3, 8, 12, 9]
c.61.1.	[38, 31, 6]
c.62.1.	[1, 1, 2, 1, 4, 14]
c.64.1.	[1]
c.65.1.	[8, 8]
c.66.1.	[1, 1, 1, 2, 1, 1, 1, 4, 1, 2, 3, 7, 4, 2, 2, 3, 8, 6, 1, 2, 2, 3, 1, 1, 1, 3, 1, 1, 3, 2, 5, 1, 1, 6, 3, 2, 1, 3, 1, 2, 2, 1, 5, 5, 1, 5, 2, 1, 3, 1, 1, 4, 58, 6, 4, 5, 1, 3]
c.67.1.	[26, 4, 28, 113, 2, 4, 1, 36, 4, 1]
c.67.2.	[1]
c.67.3.	[1]
c.68.1.	[1, 2, 3, 1, 6, 7, 3, 18, 1, 2, 1, 1, 2, 1, 15, 1, 3, 1, 1, 1]
c.69.1.	[2, 3, 2, 1, 4, 4, 4, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 3, 9, 9, 1, 1, 1, 6, 12, 3, 4, 4, 4, 8, 5, 1, 3, 2, 11, 69, 4, 8, 2, 6]
c.7.1.	[3, 2, 1, 1, 1]
c.70.1.	[5, 4]
c.71.1.	[3, 15, 16]
c.72.1.	[13, 32, 3, 4, 4, 2]
c.72.2.	[2, 1, 5]
c.72.3.	[2, 1]
c.73.1.	[13, 2, 5, 10]
c.74.1.	[2, 4, 2]
c.76.1.	[1, 1, 4, 1, 1, 4]
c.77.1.	[2, 5, 12, 27, 2, 4]
c.78.1.	[23, 38]
c.78.2.	[4, 5]
c.79.1.	[20, 26]
c.8.1.	[1, 3]
c.8.10.	[2]
c.8.2.	[3, 4, 1, 1]
c.8.3.	[1]
c.8.4.	[2]
c.8.5.	[4, 8, 1]
c.8.6.	[2]
c.8.7.	[4, 1]
c.8.8.	[3, 2]
c.8.9.	[1]
c.80.1.	[10, 8, 13, 5]
c.81.1.	[13]
c.82.1.	[46, 17, 1]
c.83.1.	[4]
c.84.1.	[9]
c.85.1.	[1, 1, 2]
c.86.1.	[3, 12]
c.87.1.	[1, 4, 1, 4, 4, 1, 1, 1, 11, 5, 1, 1, 5]
c.88.1.	[3, 11]
c.89.1.	[4, 1]
c.9.1.	[4]
c.9.2.	[1]
c.90.1.	[10, 3]
c.91.1.	[5, 6, 3]
c.92.1.	[1, 1, 4, 1]
c.92.2.	[3, 22, 1, 6, 6]
c.92.3.	[1]
c.93.1.	[61, 29]
c.94.1.	[81, 141, 2, 21]
c.95.1.	[101, 24, 23]
c.96.1.	[2]
c.97.1.	[3, 1, 11, 1, 12, 8]
c.97.3.	[2, 7]
c.98.1.	[2]
c.98.2.	[1, 2]
c.99.1.	[1]
d.1.1.	[5, 1, 3, 7]
d.10.1.	[4, 1, 1, 3, 1]
d.100.1.	[1, 4, 1]
d.100.2.	[1, 2]
d.101.1.	[6, 17]
d.102.1.	[5, 3]
d.103.1.	[2]
d.104.1.	[1, 6, 2, 33, 9]
d.105.1.	[1, 2]
d.106.1.	[3, 5, 3, 1, 1]
d.107.1.	[1, 1, 2, 1]
d.108.1.	[3, 2, 5, 62, 33, 1, 1, 1, 6, 1, 1]
d.109.1.	[17, 12, 21]
d.109.2.	[2]
d.109.3.	[1]
d.11.1.	[5]
d.110.1.	[2, 11]
d.110.10.	[1]
d.110.2.	[1, 1, 3, 9, 11]
d.110.3.	[4, 18, 4, 9, 2, 1, 1, 3]
d.110.4.	[2, 1, 1, 2, 2]
d.110.5.	[1]
d.110.6.	[2, 4, 2]
d.110.7.	[6]
d.110.8.	[3]
d.110.9.	[1]
d.111.1.	[6, 2]
d.112.1.	[1, 5, 4]
d.113.1.	[2, 5, 22, 11, 1, 2, 2, 2]
d.114.1.	[3]
d.115.1.	[3, 2, 6]
d.116.1.	[4, 4]
d.117.1.	[17, 4]
d.118.1.	[5, 13]
d.12.1.	[3, 4, 4]
d.120.1.	[17, 5, 2]
d.121.1.	[1]
d.122.1.	[8, 8, 10, 15, 6]
d.123.1.	[1]
d.124.1.	[9, 1]
d.125.1.	[1]
d.126.1.	[1, 6, 1, 2, 1, 2, 2, 4]
d.127.1.	[3, 11]
d.128.1.	[1, 5, 2, 11, 3, 1]
d.129.1.	[5, 10, 1]
d.129.10.	[1]
d.129.11.	[1, 1]
d.129.2.	[4]
d.129.3.	[4, 7, 21, 13, 3, 1, 2, 12, 2, 3, 1]
d.129.4.	[1]
d.129.5.	[1]
d.129.6.	[3, 3, 1]
d.129.7.	[2]
d.129.8.	[1]
d.129.9.	[1]
d.13.1.	[2, 4, 10, 9, 1]
d.13.2.	[1, 1]
d.130.1.	[23, 8]
d.131.1.	[20, 6, 20]
d.133.1.	[8]
d.134.1.	[6, 8]
d.135.1.	[3, 1]
d.136.1.	[2, 1, 2, 5, 4, 1]
d.137.1.	[7]
d.139.1.	[9, 6]
d.14.1.	[2, 7, 16, 11, 1, 2, 22, 9, 3, 6, 1, 3, 2]
d.140.1.	[5]
d.141.1.	[11]
d.142.1.	[3, 1, 3, 2, 2, 2, 4, 21, 3, 10]
d.142.2.	[6, 2, 2, 3, 2, 1]
d.143.1.	[7, 2, 3, 4]
d.144.1.	[1, 129, 119, 5, 1, 1, 1, 1]
d.145.1.	[2, 7, 5, 5, 12]
d.146.1.	[2, 2]
d.147.1.	[2, 1]
d.148.1.	[3, 4]
d.149.1.	[1, 5]
d.15.1.	[19, 5, 1, 3, 78, 27, 11, 7, 1]
d.15.10.	[3, 2, 2]
d.15.11.	[4]
d.15.12.	[1, 1]
d.15.13.	[1]
d.15.14.	[1]
d.15.2.	[19, 2, 5]
d.15.3.	[1, 2, 5, 3, 2]
d.15.4.	[12, 27, 17]
d.15.5.	[8]
d.15.6.	[6, 16]
d.15.7.	[30]
d.15.8.	[1]
d.15.9.	[1, 3]
d.150.1.	[9, 2, 2]
d.151.1.	[9, 9, 2, 2]
d.152.1.	[2]
d.153.1.	[1, 4, 3, 45, 4, 9, 6]
d.153.2.	[1]
d.154.1.	[2, 1, 1]
d.155.1.	[1, 1]
d.156.1.	[1, 1, 2]
d.157.1.	[1, 1, 1, 4, 1, 4, 3, 13, 12, 3, 1, 1, 1, 1, 1]
d.159.1.	[2, 1, 1, 2, 1, 5, 2, 5, 3, 7, 3, 2, 1]
d.16.1.	[1, 3, 2, 9, 4, 4, 7]
d.160.1.	[2, 3, 3]
d.161.1.	[1, 7]
d.162.1.	[7, 34, 24]
d.163.1.	[3, 7]
d.164.1.	[2, 1]
d.165.1.	[4, 29, 3]
d.166.1.	[1, 3, 16, 8, 1, 1, 1, 1]
d.167.1.	[10, 17]
d.168.1.	[9]
d.169.1.	[3, 3, 5, 2, 30, 68, 3, 2, 2]
d.17.1.	[2, 3, 1, 2, 7, 1, 13]
d.17.2.	[10]
d.17.3.	[4, 2]
d.17.4.	[1, 1, 2, 1, 5, 1, 1, 2, 2, 1, 1, 1, 5, 2, 1, 1, 2, 1, 2, 1, 1, 1, 4, 9, 1, 10, 5, 15, 2, 5, 5]
d.17.5.	[2]
d.17.6.	[1, 1, 1, 1, 1]
d.17.7.	[1]
d.170.1.	[1, 1]
d.170.2.	[1]
d.171.1.	[8, 6]
d.172.1.	[4]
d.173.1.	[1, 1, 1]
d.174.1.	[9]
d.175.1.	[3, 3]
d.176.1.	[3]
d.177.1.	[8, 2]
d.178.1.	[8]
d.179.1.	[5]
d.18.1.	[3, 1, 4, 2, 2]
d.180.1.	[1]
d.181.1.	[4]
d.182.1.	[1]
d.183.1.	[1]
d.184.1.	[3, 1, 2, 2]
d.185.1.	[4, 4, 24]
d.186.1.	[1]
d.186.2.	[1]
d.187.1.	[2]
d.188.1.	[4]
d.189.1.	[12, 6]
d.19.1.	[77, 14]
d.190.1.	[3, 1, 10, 1]
d.192.1.	[1]
d.193.1.	[3]
d.194.1.	[1, 5, 1]
d.195.1.	[1]
d.196.1.	[1]
d.197.1.	[1]
d.198.1.	[2, 13, 1]
d.198.2.	[3]
d.198.3.	[2]
d.198.4.	[3]
d.198.5.	[1, 1]
d.199.1.	[1]
d.2.1.	[2, 4, 1, 4, 21, 21, 12, 8, 1, 2, 2, 1]
d.20.1.	[50, 9, 4, 2, 2]
d.200.1.	[1]
d.201.1.	[3, 1]
d.202.1.	[2]
d.203.1.	[6]
d.204.1.	[3, 4]
d.205.1.	[1]
d.206.1.	[2]
d.207.1.	[1]
d.208.1.	[2]
d.209.1.	[1]
d.21.1.	[17, 6, 7, 2, 2]
d.210.1.	[3, 3]
d.211.1.	[11, 32]
d.211.2.	[2]
d.212.1.	[3, 3]
d.213.1.	[1, 2]
d.214.1.	[1]
d.215.1.	[1, 2]
d.216.1.	[1, 1]
d.217.1.	[3, 1]
d.218.1.	[1, 2, 1, 1, 2, 1, 1, 3, 2, 5, 1, 4, 1, 2, 3, 3]
d.219.1.	[3, 2]
d.22.1.	[1, 46, 25]
d.220.1.	[5]
d.221.1.	[1]
d.222.1.	[3, 3]
d.223.1.	[1, 6]
d.224.1.	[5, 2, 3, 3]
d.225.1.	[2]
d.226.1.	[1]
d.227.1.	[12, 3, 2]
d.228.1.	[2]
d.229.1.	[2]
d.23.1.	[1, 2]
d.230.1.	[3]
d.230.2.	[2, 2]
d.230.3.	[2, 1]
d.230.4.	[1]
d.230.5.	[2]
d.230.6.	[2]
d.231.1.	[2]
d.232.1.	[2]
d.233.1.	[2]
d.234.1.	[1]
d.235.1.	[1, 1, 2]
d.236.1.	[1]
d.237.1.	[1]
d.238.1.	[1]
d.239.1.	[1]
d.24.1.	[2, 2, 2, 1, 5, 3, 2, 2]
d.240.1.	[1, 6]
d.241.1.	[2, 1]
d.241.2.	[3]
d.242.1.	[1]
d.243.1.	[1, 2]
d.244.1.	[1, 1]
d.245.1.	[2]
d.246.1.	[2]
d.247.1.	[1]
d.248.1.	[1, 4]
d.248.2.	[2]
d.249.1.	[1]
d.25.1.	[1, 2]
d.250.1.	[1, 6]
d.251.1.	[1]
d.252.1.	[2]
d.253.1.	[1]
d.254.1.	[4, 2]
d.255.1.	[2]
d.256.1.	[2, 3]
d.257.1.	[1]
d.258.1.	[7, 1]
d.259.1.	[1]
d.26.1.	[1, 3, 29, 25]
d.26.2.	[1]
d.26.3.	[13]
d.260.1.	[1]
d.261.1.	[1, 1]
d.262.1.	[1]
d.263.1.	[1]
d.264.1.	[1, 1, 3]
d.265.1.	[1, 4, 5, 1, 1]
d.266.1.	[1]
d.267.1.	[1, 1]
d.268.1.	[1, 1, 1, 3]
d.269.1.	[4]
d.27.1.	[3]
d.270.1.	[1]
d.271.1.	[1]
d.272.1.	[1]
d.273.1.	[3, 5]
d.274.1.	[1]
d.275.1.	[2]
d.276.1.	[1]
d.277.1.	[1]
d.278.1.	[1, 1, 2]
d.279.1.	[3]
d.28.1.	[2]
d.280.1.	[2]
d.281.1.	[1]
d.282.1.	[1]
d.283.1.	[2]
d.284.1.	[2, 3, 1]
d.285.1.	[2]
d.286.1.	[2]
d.287.1.	[4, 1]
d.288.1.	[7, 3]
d.289.1.	[3]
d.29.1.	[1]
d.290.1.	[2, 1, 1, 4]
d.291.1.	[1]
d.292.1.	[1]
d.293.1.	[1, 2]
d.294.1.	[3, 1]
d.295.1.	[1, 2]
d.296.1.	[1, 1]
d.297.1.	[1]
d.298.1.	[2, 1, 3]
d.299.1.	[7]
d.3.1.	[2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5, 1, 6, 3, 6, 6, 6, 1, 48, 19]
d.30.1.	[1]
d.300.1.	[1, 1]
d.301.1.	[3]
d.302.1.	[1]
d.303.1.	[1, 4]
d.304.1.	[1, 1]
d.305.1.	[1, 3]
d.306.1.	[3, 2]
d.307.1.	[1]
d.308.1.	[2, 1, 1]
d.309.1.	[3]
d.31.1.	[6]
d.310.1.	[5]
d.311.1.	[1]
d.312.1.	[1]
d.313.1.	[1, 1]
d.314.1.	[3]
d.315.1.	[1]
d.316.1.	[1, 2]
d.317.1.	[1]
d.318.1.	[1]
d.319.1.	[1]
d.32.1.	[1, 1, 19, 4, 12, 25, 1, 1, 1, 4, 2]
d.320.1.	[1]
d.321.1.	[1, 2]
d.322.1.	[1, 2]
d.323.1.	[1, 1]
d.324.1.	[2]
d.325.1.	[2, 4]
d.326.1.	[3, 1]
d.327.1.	[1]
d.328.1.	[2]
d.329.1.	[1]
d.33.1.	[3, 2]
d.330.1.	[1]
d.331.1.	[1]
d.332.1.	[2]
d.333.1.	[1]
d.334.1.	[1]
d.335.1.	[1]
d.336.1.	[1]
d.337.1.	[1]
d.338.1.	[2]
d.339.1.	[1]
d.34.1.	[2]
d.340.1.	[1]
d.341.1.	[1]
d.342.1.	[1]
d.343.1.	[1]
d.344.1.	[2, 2, 1, 1]
d.345.1.	[1]
d.346.1.	[1]
d.347.1.	[2, 2]
d.348.1.	[6]
d.349.1.	[1]
d.35.1.	[1, 1]
d.350.1.	[1]
d.351.1.	[1, 1]
d.352.1.	[1]
d.353.1.	[3]
d.354.1.	[1]
d.355.1.	[1]
d.356.1.	[1]
d.357.1.	[1, 1]
d.358.1.	[1]
d.359.1.	[1]
d.36.1.	[1, 1]
d.360.1.	[1]
d.361.1.	[1]
d.362.1.	[1]
d.363.1.	[2]
d.364.1.	[1]
d.365.1.	[1]
d.366.1.	[2]
d.367.1.	[4, 5]
d.368.1.	[1]
d.369.1.	[3]
d.37.1.	[29, 15]
d.370.1.	[3]
d.371.1.	[1]
d.372.1.	[2]
d.373.1.	[1]
d.374.1.	[1]
d.375.1.	[1]
d.376.1.	[1]
d.377.1.	[1]
d.378.1.	[2]
d.379.1.	[3]
d.38.1.	[3, 3, 30, 19, 4, 2, 10, 17, 4]
d.380.1.	[1]
d.381.1.	[2]
d.382.1.	[2]
d.383.1.	[1]
d.384.1.	[1]
d.385.1.	[1]
d.386.1.	[1]
d.387.1.	[2]
d.388.1.	[3]
d.39.1.	[5]
d.4.1.	[4, 2, 2, 1, 3, 1]
d.40.1.	[9, 1]
d.41.1.	[1, 8]
d.41.2.	[6, 7, 4]
d.41.3.	[1, 3]
d.41.4.	[3, 4]
d.41.5.	[4, 2]
d.42.1.	[6, 17, 9]
d.43.1.	[5]
d.43.2.	[1]
d.44.1.	[20, 27]
d.45.1.	[3, 3]
d.47.1.	[5]
d.48.1.	[3, 1]
d.49.1.	[1, 4]
d.5.1.	[31, 7]
d.50.1.	[1, 23, 3, 1]
d.50.2.	[2, 2]
d.50.3.	[1, 1, 1]
d.50.4.	[1]
d.50.5.	[1]
d.51.1.	[36, 9]
d.52.1.	[3]
d.52.10.	[2]
d.52.2.	[2, 2]
d.52.3.	[11]
d.52.4.	[1]
d.52.5.	[1]
d.52.6.	[2]
d.52.7.	[1, 5]
d.52.8.	[2, 3, 4]
d.52.9.	[1, 1]
d.53.1.	[2]
d.54.1.	[76, 30]
d.55.1.	[4]
d.56.1.	[3, 4]
d.57.1.	[1]
d.58.1.	[5, 14, 1, 2, 8, 4, 1]
d.58.10.	[10, 7, 5]
d.58.11.	[1, 9, 2, 2]
d.58.12.	[3]
d.58.13.	[2]
d.58.14.	[5]
d.58.15.	[2]
d.58.16.	[1, 2, 1]
d.58.17.	[15, 19]
d.58.18.	[2, 4, 4, 1, 1, 2, 2, 2, 5, 2, 2, 2, 2, 1, 6]
d.58.19.	[8]
d.58.2.	[4, 1]
d.58.20.	[2]
d.58.21.	[1, 5]
d.58.22.	[1]
d.58.23.	[2]
d.58.24.	[2]
d.58.25.	[1]
d.58.26.	[1, 3, 1, 2, 1, 3, 3, 1]
d.58.27.	[1]
d.58.28.	[1, 6]
d.58.29.	[5, 6, 1]
d.58.3.	[6, 1, 1, 8]
d.58.30.	[3]
d.58.31.	[6, 2, 3]
d.58.32.	[1, 1, 2, 1, 1, 1]
d.58.33.	[6]
d.58.34.	[2]
d.58.36.	[4, 6, 4]
d.58.38.	[2]
d.58.39.	[1]
d.58.4.	[1, 1, 2, 1, 1, 3, 2, 1, 5, 2, 2, 1, 2, 1, 1, 1, 5, 3, 1, 1, 1, 17, 1, 4]
d.58.40.	[4]
d.58.41.	[1]
d.58.42.	[3]
d.58.43.	[1]
d.58.44.	[4]
d.58.46.	[1]
d.58.47.	[1]
d.58.48.	[1, 1, 5]
d.58.49.	[2]
d.58.5.	[12, 13, 12, 2, 1, 1]
d.58.50.	[1]
d.58.51.	[2]
d.58.52.	[1, 1]
d.58.53.	[1, 1]
d.58.54.	[1, 1]
d.58.55.	[1, 1]
d.58.56.	[10, 6]
d.58.57.	[5]
d.58.58.	[3, 4]
d.58.59.	[2]
d.58.6.	[31, 8]
d.58.60.	[6]
d.58.61.	[2, 1]
d.58.62.	[1]
d.58.7.	[3, 1, 71, 130, 2, 1]
d.58.8.	[8]
d.58.9.	[9, 11]
d.59.1.	[4]
d.6.1.	[20]
d.60.1.	[1, 1, 1, 1, 1]
d.61.1.	[1, 4, 1, 1, 3]
d.62.1.	[1]
d.63.1.	[6, 2, 1]
d.64.1.	[2]
d.64.2.	[4]
d.65.1.	[1, 5, 1, 1, 1]
d.66.1.	[1, 3, 1, 2, 2]
d.67.1.	[3, 2]
d.67.2.	[2]
d.67.3.	[1, 7]
d.67.4.	[1]
d.68.1.	[3, 1]
d.68.2.	[10, 7, 1]
d.68.3.	[4]
d.68.4.	[3]
d.68.5.	[3]
d.68.6.	[1, 1, 7]
d.68.7.	[4]
d.68.8.	[1]
d.7.1.	[1, 2]
d.70.1.	[1, 1]
d.71.1.	[1]
d.72.1.	[1]
d.73.1.	[17]
d.74.1.	[2, 4]
d.74.2.	[4, 1]
d.74.3.	[1, 4, 2]
d.74.4.	[1, 4]
d.74.5.	[1]
d.75.1.	[3]
d.75.2.	[3]
d.76.1.	[2]
d.76.2.	[5]
d.77.1.	[5, 3, 4]
d.78.1.	[3]
d.79.1.	[4, 17, 11]
d.79.2.	[5, 9]
d.79.3.	[12, 2, 3, 4]
d.79.4.	[7, 12]
d.79.5.	[7, 5]
d.79.6.	[1]
d.79.7.	[4, 6]
d.79.8.	[1]
d.79.9.	[2]
d.8.1.	[2, 3]
d.80.1.	[1, 1, 1, 8, 1, 7, 18]
d.81.1.	[1, 8, 2, 12, 27]
d.81.2.	[1, 1]
d.81.3.	[2]
d.81.4.	[1]
d.82.1.	[1]
d.82.2.	[1, 1, 4]
d.82.3.	[1]
d.82.4.	[1]
d.82.5.	[1]
d.83.1.	[2, 2]
d.83.2.	[1]
d.84.1.	[1, 1]
d.85.1.	[6]
d.86.1.	[2, 6, 1]
d.87.1.	[22]
d.87.2.	[5, 1]
d.88.1.	[5]
d.89.1.	[1, 2, 2, 1, 2, 2]
d.9.1.	[52, 6]
d.9.2.	[1]
d.90.1.	[22, 12, 1]
d.91.1.	[1, 1]
d.92.1.	[1, 10, 6, 1, 20, 1, 6, 8, 1, 6, 1, 18, 2, 4, 2, 4, 1, 3]
d.92.2.	[4, 1, 2, 2]
d.93.1.	[56, 25]
d.94.1.	[1, 11]
d.94.2.	[1]
d.95.1.	[1]
d.95.2.	[4, 2, 15]
d.96.1.	[4, 4, 4, 8, 4]
d.96.2.	[1, 1]
d.97.1.	[6]
d.98.1.	[2, 1]
d.98.2.	[3, 3]
d.99.1.	[3]
e.1.1.	[16, 22]
e.10.1.	[4]
e.11.1.	[2, 6]
e.12.1.	[1]
e.13.1.	[1, 1]
e.15.1.	[2]
e.17.1.	[7, 5]
e.18.1.	[1, 6, 4]
e.19.1.	[1, 4, 6]
e.2.1.	[1]
e.22.1.	[7, 2, 6]
e.23.1.	[9, 11]
e.24.1.	[5]
e.25.1.	[3]
e.26.1.	[2, 3, 2]
e.27.1.	[1]
e.28.1.	[1, 1]
e.29.1.	[4, 3]
e.3.1.	[2, 4, 25, 51]
e.32.1.	[2]
e.34.1.	[1]
e.35.1.	[1]
e.37.1.	[2]
e.38.1.	[3, 2]
e.39.1.	[4]
e.40.1.	[2]
e.41.1.	[1]
e.42.1.	[1]
e.43.1.	[3, 1, 1]
e.44.1.	[1]
e.45.1.	[1]
e.46.1.	[1]
e.47.1.	[1]
e.48.1.	[1]
e.49.1.	[2]
e.5.1.	[1, 12, 1]
e.50.1.	[3]
e.51.1.	[3]
e.52.1.	[2, 2, 4]
e.53.1.	[1, 2]
e.54.1.	[1]
e.55.1.	[1]
e.56.1.	[1]
e.57.1.	[1]
e.58.1.	[1]
e.59.1.	[1]
e.6.1.	[2, 13, 23]
e.60.1.	[1, 2]
e.61.1.	[1]
e.62.1.	[1, 2, 1]
e.63.1.	[1, 1]
e.64.1.	[1]
e.65.1.	[1]
e.66.1.	[1]
e.67.1.	[1]
e.68.1.	[1]
e.69.1.	[1]
e.7.1.	[1, 7, 18]
e.70.1.	[1]
e.71.1.	[1]
e.72.1.	[1]
e.73.1.	[1]
e.74.1.	[2]
e.75.1.	[2]
e.76.1.	[1, 1]
e.77.1.	[2]
e.78.1.	[3]
e.8.1.	[13, 4, 1, 5, 22, 6, 1]
f.1.1.	[4]
f.1.2.	[1]
f.1.3.	[5, 1]
f.1.4.	[5, 22]
f.1.5.	[1]
f.10.1.	[3, 4]
f.12.1.	[1]
f.13.1.	[7, 9, 2]
f.14.1.	[14]
f.14.2.	[1]
f.15.1.	[3]
f.16.1.	[1]
f.17.1.	[1]
f.17.2.	[1, 5]
f.17.3.	[1]
f.17.4.	[2]
f.17.5.	[1]
f.17.6.	[1, 1]
f.18.1.	[1]
f.19.1.	[6, 7]
f.20.1.	[2]
f.21.1.	[6, 1]
f.21.2.	[1, 8]
f.21.3.	[1]
f.22.1.	[1]
f.23.1.	[1]
f.23.10.	[5, 1]
f.23.11.	[1, 2]
f.23.12.	[4, 2]
f.23.13.	[4]
f.23.14.	[5]
f.23.15.	[3]
f.23.16.	[2]
f.23.17.	[1]
f.23.18.	[2]
f.23.19.	[1]
f.23.2.	[1]
f.23.20.	[1]
f.23.21.	[1]
f.23.22.	[1]
f.23.23.	[2]
f.23.24.	[3]
f.23.25.	[3]
f.23.26.	[4]
f.23.27.	[3]
f.23.28.	[3]
f.23.3.	[1]
f.23.30.	[1]
f.23.31.	[1]
f.23.32.	[1]
f.23.33.	[1]
f.23.34.	[1]
f.23.35.	[2]
f.23.36.	[2]
f.23.37.	[1]
f.23.38.	[2]
f.23.4.	[1]
f.23.40.	[2]
f.23.41.	[1]
f.23.5.	[1]
f.23.6.	[1]
f.23.7.	[1]
f.23.8.	[2]
f.23.9.	[1]
f.24.1.	[5]
f.25.1.	[4]
f.26.1.	[9]
f.27.1.	[4]
f.28.1.	[4]
f.29.1.	[4]
f.3.1.	[8, 2]
f.30.1.	[1]
f.31.1.	[1]
f.32.1.	[2, 5]
f.33.1.	[1]
f.34.1.	[1]
f.35.1.	[2]
f.36.1.	[4]
f.37.1.	[2]
f.38.1.	[1, 1]
f.4.1.	[1, 1, 2, 5, 1]
f.4.2.	[1]
f.4.3.	[1, 10, 3, 4, 1]
f.4.4.	[1, 1, 1]
f.4.5.	[1]
f.4.6.	[1]
f.40.1.	[1]
f.41.1.	[1, 2]
f.42.1.	[1, 2]
f.43.1.	[1]
f.44.1.	[1, 1]
f.45.1.	[2]
f.46.1.	[1, 2]
f.47.1.	[1]
f.48.1.	[1]
f.49.1.	[2]
f.5.1.	[2, 2]
f.50.1.	[1]
